Starbreeze,Take-Two Interactive
Delphine Software International,Electronic Arts
Gameloft,Ubisoft
Grasshopper Manufacture,Warner Bros. Interactive Entertainment
Shift/Bandai Namco Games,Namco Bandai Games
Dimps Corporation/SCE Japan Studio,Sony Computer Entertainment
Krome Studios/Screenlife Games,Microsoft Game Studios
Suzak,Nintendo
Iron Galaxy Studios,Take-Two Interactive
GenePool,Activision
Ubisoft Casablanca,Ubisoft
Epicenter Studios,Rondomedia
KCEA,Konami Digital Entertainment
Adrenium,Activision
Juice Games,THQ
id Software/Raven Software,Activision
SEGA Racing Studio,Sega
Clover Studio,Capcom
SuperVillain Studios,Vivendi Games
EA Sports/EA Canada,Electronic Arts
MagicWand,Activision
Media Vision/Contrail,Ubisoft
Paon Corporation,Nintendo
Lab Rats Games,Play It
Vicious Cycle,TDK Mediactive
Cinegroupe,Gotham Games
High Impact Games,Sony Computer Entertainment
Skyworks Technologies,Majesco Entertainment
Robomodo,Activision
Ascaron Entertainment GmbH/Ascaron Entertainment,Deep Silver
2K Sports,Spike
FUN Labs,Activision
Appaloosa Interactive,THQ
Vanillaware,Rising Star Games
Endemol,Activision
Dreamworks Games,Electronic Arts
Atomic Planet Entertainment,Capcom
Coldwood Interactive,Sony Computer Entertainment
Valuewave Co. Ltd.,Capcom
Pam Development,Take-Two Interactive
Ubisoft Romania,Ubisoft
Spicy Horse,Electronic Arts
Overkill Software,505 Games
Midway Studios - Austin,Midway Games
Bunkasha Publishing,Activision
Nippon Ichi Software,Nippon Ichi Software
Neverland,Xseed Games
Silicon Studio,SouthPeak Games
Namco Bandai Games/Bandai Namco Games,Namco Bandai Games
Vanilla Ware,Square Enix
Full-Fat,Zoo Digital Publishing
Etranges Libellules,Vivendi Games
Relic,THQ
Collision Studios,Majesco Entertainment
Anchor,THQ
Racjin,Square Enix
Magenta Software,Vivendi Games
Awesome Studios,Ignition Entertainment
Behaviour Interactive,Warner Bros. Interactive Entertainment
Pipe Dream Interactive,Codemasters
Bullets,Square Enix
Aspect,Konami Digital Entertainment
Deep Space,Sony Computer Entertainment
Inti,Capcom
Bam Entertainment,3DO
THQ Digital Studio Phoenix,THQ
Brain Toys,THQ
Hothouse Creations,Codemasters
Nuevo Retro Games,Deep Silver
Digital Kids,Ubisoft
Yager,Take-Two Interactive
Omega Force/Koei Tecmo Games,Tecmo Koei
4A Games,THQ
Cing,Nintendo
WXP,Activision
Cerasus Media,Destineer
Inevitable Entertainment,Vivendi Games
Destineer,Ubisoft
Eighting,Capcom
SCEA Sports Studio,Sony Computer Entertainment
Keen Games,Disney Interactive Studios
Storm City Games,Rondomedia
ValuSoft,Mindscape
High Voltage Software/Ubisoft Paris,Ubisoft
GRIN,Warner Bros. Interactive Entertainment
Q-Games,Nintendo
Raster,Activision
Vivarium,Sega
VU Games,Konami Digital Entertainment
Machatin/Inc.,505 Games
Point of View,Midway Games
City Interactive/Deck 13,Square Enix
T&E Soft,Electronic Arts
Climax Group/Climax Studios,Konami Digital Entertainment
HexaDrive,Square Enix
Jupiter Corporation/Jupiter Multimedia,Disney Interactive Studios
Blade Interactive,Midas Interactive Entertainment
Factor 5/SCE/WWS,Sony Computer Entertainment
SCE Japan Studio/comcept,Sony Computer Entertainment
WBIE,Sony Online Entertainment
Warthog,Warner Bros. Interactive Entertainment
AWE Games,THQ
Contraband Entertainment,Activision
Eugen Systems,Ubisoft
Quest,Nintendo
Kuusou Kagaku,ASCII Entertainment
HandMade Game,Nintendo
7 Studios,Activision
Blue Tongue,THQ
Humongous Entertainment,Atari
Pocketeers,Zoo Digital Publishing
Harmonix Music Systems/Backbone Entertainment,MTV Games
Scholastic/Inc.,Scholastic Inc.
Screenlife Games/WXP,Microsoft Game Studios
Totally Games,LucasArts
Ratbag,Ignition Entertainment
SCEJ,Sony Computer Entertainment
Razorworks,Xplosiv
New,Empire Interactive
Beyond Games,THQ
Teyon,Level 5
Ubisoft Barcelona/Ubisoft Reflections,Ubisoft
Eurocom Entertainment Software/Visceral Games,Electronic Arts
Nintendo/Headstrong Games,Nintendo
Shin'en,THQ
Creations,Activision
Crave,Ignition Entertainment
Vatra,Konami Digital Entertainment
Treasure,Sega
Human Soft/Ivolgamus,Activision
Eighting/Raizing,Infogrames
505 Games,Ubisoft
Studio Gigante,THQ
Wideload Games Inc.,Disney Interactive Studios
Farsight Studios/Crave,505 Games
